Source,Target,Type,Id,Label,Weight
1,2,Directed,0,,1
1,3,Directed,1,,1
1,4,Directed,2,,1
1,5,Directed,3,,1
1,6,Directed,4,,1
1,7,Directed,5,,1
1,8,Directed,6,,1
2,3,Directed,9,,1
2,5,Directed,12,,1
2,6,Directed,14,,1
2,9,Directed,7,,1
2,10,Directed,8,,1
2,11,Directed,10,,1
2,12,Directed,11,,1
2,13,Directed,13,,1
2,14,Directed,15,,1
3,5,Directed,1653,,1
3,20,Directed,1652,,1
3,89,Directed,1645,,1
3,146,Directed,1649,,1
3,147,Directed,1650,,1
3,412,Directed,1646,,1
3,413,Directed,1651,,1
3,426,Directed,1648,,1
3,437,Directed,1647,,1
4,106,Directed,3253,,1
4,118,Directed,3251,,1
4,319,Directed,3252,,1
5,14,Directed,4004,,1
5,20,Directed,4000,,1
5,94,Directed,3998,,1
5,106,Directed,3999,,1
5,199,Directed,4001,,1
5,724,Directed,4003,,1
5,772,Directed,4002,,1
6,4,Directed,4550,,1
6,5,Directed,4561,,1
6,12,Directed,4552,,1
6,13,Directed,4563,,1
6,20,Directed,4559,,1
6,23,Directed,4557,,1
6,54,Directed,4553,,1
6,56,Directed,4554,,1
6,59,Directed,4558,,1
6,70,Directed,4568,,1
6,95,Directed,4567,,1
6,118,Directed,4551,,1
6,188,Directed,4555,,1
6,189,Directed,4556,,1
6,473,Directed,4560,,1
6,801,Directed,4562,,1
6,843,Directed,4565,,1
6,874,Directed,4564,,1
6,900,Directed,4566,,1
7,20,Directed,7120,,1
8,20,Directed,7216,,1
9,5,Directed,535,,1
9,20,Directed,534,,1
9,220,Directed,533,,1
10,5,Directed,1430,,1
10,402,Directed,1431,,1
11,5,Directed,2073,,1
11,79,Directed,2071,,1
11,297,Directed,2072,,1
12,4,Directed,3307,,1
12,5,Directed,3332,,1
12,19,Directed,3326,,1
12,20,Directed,3330,,1
12,42,Directed,3319,,1
12,56,Directed,3320,,1
12,59,Directed,3324,,1
12,62,Directed,3321,,1
12,68,Directed,3334,,1
12,77,Directed,3328,,1
12,94,Directed,3315,,1
12,118,Directed,3310,,1
12,154,Directed,3316,,1
12,188,Directed,3322,,1
12,189,Directed,3323,,1
12,287,Directed,3333,,1
12,319,Directed,3327,,1
12,336,Directed,3309,,1
12,473,Directed,3331,,1
12,598,Directed,3329,,1
12,642,Directed,3313,,1
12,685,Directed,3312,,1
12,699,Directed,3308,,1
12,703,Directed,3311,,1
12,706,Directed,3317,,1
12,710,Directed,3314,,1
12,711,Directed,3318,,1
12,712,Directed,3325,,1
13,5,Directed,4257,,1
13,118,Directed,4256,,1
14,5,Directed,7350,,1
14,12,Directed,7341,,1
14,20,Directed,7348,,1
14,43,Directed,7345,,1
14,54,Directed,7342,,1
14,59,Directed,7344,,1
14,70,Directed,7356,,1
14,77,Directed,7346,,1
14,84,Directed,7343,,1
14,106,Directed,7347,,1
14,160,Directed,7355,,1
14,199,Directed,7351,,1
14,473,Directed,7349,,1
14,546,Directed,7353,,1
14,804,Directed,7354,,1
14,1309,Directed,7352,,1
15,5,Directed,16,,1
15,6,Directed,17,,1
16,17,Directed,18,,1
16,18,Directed,19,,1
16,19,Directed,20,,1
16,20,Directed,21,,1
17,5,Directed,1548,,1
17,19,Directed,1545,,1
17,20,Directed,1547,,1
17,69,Directed,1550,,1
17,106,Directed,1546,,1
17,109,Directed,1538,,1
17,110,Directed,1539,,1
17,125,Directed,1541,,1
17,126,Directed,1543,,1
17,208,Directed,1551,,1
17,384,Directed,1540,,1
17,402,Directed,1549,,1
17,424,Directed,1542,,1
17,431,Directed,1544,,1
18,5,Directed,2191,,1
18,8,Directed,2194,,1
18,19,Directed,2188,,1
18,20,Directed,2190,,1
18,68,Directed,2193,,1
18,69,Directed,2195,,1
18,77,Directed,2189,,1
18,84,Directed,2187,,1
18,158,Directed,2196,,1
18,525,Directed,2192,,1
19,5,Directed,3713,,1
19,108,Directed,3712,,1
20,5,Directed,3774,,1
20,19,Directed,3773,,1
20,56,Directed,3772,,1
21,5,Directed,22,,1
22,5,Directed,24,,1
22,23,Directed,23,,1
23,5,Directed,3686,,1
23,266,Directed,3687,,1
24,5,Directed,45,,1
24,20,Directed,44,,1
24,25,Directed,25,,1
24,26,Directed,26,,1
24,27,Directed,27,,1
24,28,Directed,28,,1
24,29,Directed,29,,1
24,30,Directed,30,,1
24,31,Directed,31,,1
24,32,Directed,32,,1
24,33,Directed,33,,1
24,34,Directed,34,,1
24,35,Directed,35,,1
24,36,Directed,36,,1
24,37,Directed,37,,1
24,38,Directed,38,,1
24,39,Directed,39,,1
24,40,Directed,40,,1
24,41,Directed,41,,1
24,42,Directed,42,,1
24,43,Directed,43,,1
24,44,Directed,46,,1
25,5,Directed,117,,1
25,12,Directed,113,,1
25,20,Directed,116,,1
25,24,Directed,109,,1
25,27,Directed,110,,1
25,30,Directed,111,,1
25,54,Directed,114,,1
25,56,Directed,115,,1
25,57,Directed,118,,1
25,87,Directed,112,,1
26,5,Directed,181,,1
26,12,Directed,175,,1
26,19,Directed,178,,1
26,20,Directed,180,,1
26,24,Directed,171,,1
26,27,Directed,172,,1
26,32,Directed,173,,1
26,54,Directed,176,,1
26,56,Directed,177,,1
26,57,Directed,182,,1
26,96,Directed,183,,1
26,105,Directed,174,,1
26,106,Directed,179,,1
27,3,Directed,289,,1
27,5,Directed,321,,1
27,8,Directed,325,,1
27,9,Directed,269,,1
27,12,Directed,309,,1
27,14,Directed,326,,1
27,17,Directed,292,,1
27,19,Directed,316,,1
27,20,Directed,319,,1
27,24,Directed,260,,1
27,28,Directed,268,,1
27,29,Directed,271,,1
27,33,Directed,278,,1
27,34,Directed,279,,1
27,37,Directed,298,,1
27,39,Directed,299,,1
27,40,Directed,301,,1
27,41,Directed,302,,1
27,46,Directed,272,,1
27,48,Directed,273,,1
27,49,Directed,274,,1
27,50,Directed,276,,1
27,51,Directed,280,,1
27,53,Directed,282,,1
27,54,Directed,310,,1
27,55,Directed,314,,1
27,56,Directed,315,,1
27,57,Directed,322,,1
27,58,Directed,261,,1
27,60,Directed,262,,1
27,77,Directed,317,,1
27,79,Directed,266,,1
27,82,Directed,263,,1
27,83,Directed,291,,1
27,89,Directed,286,,1
27,90,Directed,287,,1
27,91,Directed,290,,1
27,95,Directed,324,,1
27,96,Directed,328,,1
27,106,Directed,318,,1
27,108,Directed,320,,1
27,120,Directed,264,,1
27,124,Directed,304,,1
27,130,Directed,267,,1
27,131,Directed,284,,1
27,132,Directed,285,,1
27,133,Directed,307,,1
27,135,Directed,295,,1
27,137,Directed,306,,1
27,139,Directed,265,,1
27,140,Directed,270,,1
27,141,Directed,275,,1
27,142,Directed,277,,1
27,143,Directed,281,,1
27,144,Directed,283,,1
27,145,Directed,288,,1
27,146,Directed,293,,1
27,147,Directed,294,,1
27,148,Directed,296,,1
27,149,Directed,297,,1
27,150,Directed,300,,1
27,151,Directed,303,,1
27,152,Directed,305,,1
27,153,Directed,308,,1
27,154,Directed,311,,1
27,155,Directed,312,,1
27,156,Directed,313,,1
27,157,Directed,323,,1
27,158,Directed,327,,1
28,5,Directed,532,,1
28,27,Directed,522,,1
28,35,Directed,525,,1
28,46,Directed,523,,1
28,90,Directed,526,,1
28,137,Directed,530,,1
28,145,Directed,527,,1
28,214,Directed,524,,1
28,215,Directed,531,,1
28,218,Directed,528,,1
28,219,Directed,529,,1
29,5,Directed,808,,1
29,20,Directed,807,,1
29,33,Directed,806,,1
30,5,Directed,722,,1
30,20,Directed,721,,1
30,24,Directed,720,,1
31,5,Directed,727,,1
31,24,Directed,726,,1
31,253,Directed,725,,1
32,5,Directed,803,,1
32,20,Directed,802,,1
32,24,Directed,800,,1
32,276,Directed,801,,1
33,5,Directed,814,,1
33,12,Directed,812,,1
33,19,Directed,813,,1
33,27,Directed,810,,1
33,141,Directed,811,,1
33,199,Directed,815,,1
34,5,Directed,824,,1
34,12,Directed,822,,1
34,19,Directed,823,,1
34,27,Directed,819,,1
34,41,Directed,821,,1
34,141,Directed,820,,1
34,199,Directed,825,,1
35,3,Directed,1115,,1
35,5,Directed,1127,,1
35,12,Directed,1121,,1
35,19,Directed,1125,,1
35,33,Directed,1112,,1
35,37,Directed,1117,,1
35,54,Directed,1122,,1
35,55,Directed,1124,,1
35,90,Directed,1113,,1
35,96,Directed,1128,,1
35,124,Directed,1119,,1
35,137,Directed,1120,,1
35,145,Directed,1114,,1
35,154,Directed,1123,,1
35,286,Directed,1126,,1
35,344,Directed,1116,,1
35,345,Directed,1118,,1
36,5,Directed,1978,,1
36,9,Directed,1969,,1
36,12,Directed,1973,,1
36,19,Directed,1976,,1
36,20,Directed,1977,,1
36,24,Directed,1967,,1
36,27,Directed,1968,,1
36,30,Directed,1970,,1
36,32,Directed,1971,,1
36,54,Directed,1974,,1
36,56,Directed,1975,,1
36,57,Directed,1979,,1
36,96,Directed,1980,,1
36,484,Directed,1972,,1
37,5,Directed,2016,,1
37,12,Directed,2014,,1
37,20,Directed,2015,,1
